Governorate,Area equipped for irrigation (ha),,
Al-Kaf,13 796,,
Ariana,41 428,,
Beja,20 446,,
Ben Arous (Tunis Sud),11 851,,
Bizerte,24 042,,
Dschunduba,33 290,,
Gabes,11 463,,
Gafsa,20 136,,
Kairouwan,60 781,,
Kasserine,22 309,,
Kebili,19 338,,
Mahdia,6 870,,
Medenine,2 384,,
Monastir,5 761,,
Nabul,47 626,,
Saghuan,9 803,,
Sfax,13 582,,
Sidi Bu Said,52 360,,
Siliana,14 418,,
Susa,7 518,,
Tataouine,5 180,,
Tozeur,9 809,,
Tunis, 879,,
Tunisia total,455 070,,
Area equipped for full control irrigation,428 070,,
Area equipped for spate irrigation,27 000,,
,Area equipped for irrigation,,
Region,with groundwater (ha),with surface water (ha),Direct use of treated wastewater (ha)
Centre,133 549,34 305,1 328
North,77 655,133 673,6 250
South,60 616,7 247, 447
Tunisia total,271 820,175 225,8 025